Province,District,Municipality
Gandaki Pradesh,Tanahu District,Myagde Rural Municipality
Gandaki Pradesh,Tanahu District,Byas Municipality
Gandaki Pradesh,Tanahu District,Bhanu Municipality
Lumbini Pradesh,Arghakhanchi,Shitaganga Municipality
Lumbini Pradesh,Arghakhanchi,Panini Rural Municipality
Lumbini Pradesh,Arghakhanchi,Sandhikharka Municipality
Lumbini Pradesh,Arghakhanchi,Bhumikasthan Municipality
Lumbini Pradesh,Arghakhanchi,Malarani Rural Municipality
Lumbini Pradesh,Arghakhanchi,Chhatradev Rural Municipality
Lumbini Pradesh,Banke,Narainapur Rural Municipality
Lumbini Pradesh,Banke,Duduwa Rural Municipality
Lumbini Pradesh,Banke,Nepalganj Sub
Lumbini Pradesh,Banke,Khajura Rural Municipality
Lumbini Pradesh,Banke,Baijanath Rural Municipality
Lumbini Pradesh,Banke,Kohalpur Municipality
Lumbini Pradesh,Banke,Rapti Sonari Rural Municipality
Lumbini Pradesh,Bardiya,Badhaiyatal Rural Municipality
Lumbini Pradesh,Bardiya,Gulariya Municipality
Lumbini Pradesh,Bardiya,Madhuwan Municipality
Lumbini Pradesh,Bardiya,Rajapur Municipality
Lumbini Pradesh,Bardiya,Geruwa Rural Municipality
Lumbini Pradesh,Bardiya,Thakurbaba Municipality
Lumbini Pradesh,Bardiya,Barbardiya Municipality
Lumbini Pradesh,Bardiya,Bansgadhi Municipality
Lumbini Pradesh,Dang,Rajpur Rural Municipality
Lumbini Pradesh,Dang,Gadhawa Rural Municipality
Lumbini Pradesh,Dang,Rapti Rural Municipality
